accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
104677,서귀포 마치펜션,제주특별자치도,서귀포시,대정읍,대정읍 도원중로 107,www.instagram.com/kim_hs1122,010-****-**60,김*선
104678,가평 캄벨리독채펜션,경기,가평군,조종면,조종면 연인산로 505-11,xn--oy2bp8c4xx.com/,166-***-60,
104679,태안 밀키블루펜션,충남,태안군,남면,남면 청포대길 70-19,www.milkyblue.co.kr/html/index.html,010-****-**48,김******식
104680,태안 백합펜션,충남,태안군,남면,남면 안면대로 1296-47,www.lilypension.co.kr/html/index.html,010-****-**48,김******식
104681,대부도바닷가펜션,경기,안산시 단원구,대부북동,구봉길 102-36 (대부북동),badasga.kr,166-***-60,박*아
104682,플로라스테이,제주특별자치도,제주시,한경면,한경면 신정로 561,florastay.kr,010-****-**48,유*순
104683,썸웨일즈펜션,경남,남해군,남면,남면 남면로1229번길 68,somewhales.com,010-****-**73,황*익
104684,노네임풀빌라,강원특별자치도,춘천시,우두동,"새청말길 26 (우두동, 강변코아루아파트)",노네임,010-****-**65,
104685,노네임풀빌라,강원특별자치도,홍천군,서면,서면 개야마을길 200,nonamepoolvilla.co.kr,010-****-**65,백*희
104689,물맑은펜션,경북,성주군,가천면,가천면 포천계곡로 789,purewaterpension.quv.kr,010-****-**07,안*수
104690,엔제이풀빌라,강원특별자치도,횡성군,서원면,서원면 월송석화로 496,njpoolvilla.com/,010-****-**09,
104691,모련,전북특별자치도,전주시 완산구,교동,향교길 82 (교동),hanokmoryeon.com,010-****-**67,이*선
104692,지금애월,제주특별자치도,제주시,애월읍,애월읍 광령평화10길 65-9,7777,064-*****-12,고*일
4402,인서울게스트하우스,서울,종로구,인사동,삼일대로 405 (인사동),innseoul.com,010-****-**86,이*심
4403,홍대 스테이나우게스트하우스,서울,마포구,연남동,동교로 266-8 (연남동),www.staynow.co.kr,010-****-**85,이*원
4404,파밀리아펜션,강원,평창군,봉평면,봉평면 흥정계곡2길 28-11,efamilia.co.kr/,010-****-**55,박*정
4405,산애들애스파펜션,충남,태안군,안면읍,안면읍 삼봉길 110-5,sannaedle.infotown1.kr,010-****-**01,김*훈
4406,서남산한옥스테이 펜션,경북,경주시,내남면,내남면 포석로 435-12,www.hanokstaysns.com,010-****-**37,손*영
4407,별빛터 글램핑,경남,합천군,가회면,가회면 대기1길 15-7,www.별빛터글램핑펜션.com,010-****-**99,김*숙
4408,글램핑코리아 카라반 안면도,충남,태안군,남면,남면 마검포길 201-32,www.glamping-korea.com,010-****-**25,김*선
4409,경주 다향펜션,경북,경주시,천북면,천북면 목실길 6,www.teaps.kr,010-****-**27,이*연
4410,태안아트키즈펜션,충남,태안군,남면,남면 청포대길 19,www.artpension.co.kr/html/index.html,010-****-**19,장*수
4411,사량도펜션,경남,통영시,사량면,사량면 상도일주로 535,saryangdo.kr,010-****-**47,양*진
4412,오베르네펜션&글램핑,경북,경주시,양남면,양남면 석읍한티길 86-14,obernaiglamping.co.kr/shop_main/main_body.htm?s_ref=&s_buyer=,010-****-**89,이*원
4413,미니멀펜션,경북,경주시,마동,"마동큰마을5길 35, 가동(마동)",gjminimal.com,010-****-**22,권*수
